#feature,bac3,bac4,bac1,bac2,bac5,bac6,vir1,vir4,vir2,vir3,vir5,vri6
ENST00000271843.9,58.33,13.67,37.33,24.33,28.0,16.0,22.67,13.67,17.67,4.0,26.17,12.0
ENST00000271857.6,4.33,0.0,0.0,2.5,0.0,0.0,0.0,0.0,2.33,1.0,2.5,1.0
ENST00000271889.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000272091.8,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000272102.10,52.58,11.42,34.0,34.0,28.67,15.13,20.83,9.67,43.0,4.67,25.67,15.75
ENST00000272117.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000272134.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000272139.5,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000272163.9,27.0,7.0,6.0,18.5,5.5,0.0,11.0,2.0,0.0,0.0,0.0,4.5
ENST00000272167.9,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000272198.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000272217.7,11.5,1.0,8.5,8.5,6.5,2.5,2.5,3.0,3.5,0.0,4.0,5.5
ENST00000281701.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000281834.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000282670.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000282841.9,4.0,1.33,2.33,2.83,1.0,4.0,2.25,0.0,2.0,0.0,2.33,0.0
ENST00000282990.10,2.0,0.0,0.0,2.0,0.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0
ENST00000283179.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000284376.7,1.67,0.0,1.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000284551.11,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
ENST00000284617.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000285735.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000286031.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000286692.8,0.0,1.0,0.0,3.0,0.0,0.0,2.0,3.17,0.0,0.0,1.67,0.0
ENST00000287482.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000287899.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000288774.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000289429.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000289703.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000289707.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ENST00000289779.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000289865.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ENST00000289877.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000289893.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000289902.2,296.5,52.5,704.0,223.0,292.5,138.5,122.5,74.5,132.5,18.0,205.5,115.5
ENST00000290039.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000290101.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000290524.8,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENST00000290541.7,56.67,19.5,29.5,37.17,30.83,24.0,20.5,21.0,20.0,5.0,22.83,5.0
ENST00000290551.5,32.0,10.0,0.0,21.0,0.0,8.0,6.0,9.0,6.0,0.0,5.0,4.0
ENST00000290597.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000290663.10,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000290795.7,0.0,0.0,2.83,2.5,2.0,0.0,0.0,0.0,5.33,0.0,0.0,1.33
ENST00000291386.4,36.0,7.0,14.0,22.0,7.0,13.0,18.0,10.0,16.0,0.0,16.0,6.0
ENST00000291416.10,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000292176.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000292180.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000292211.5,10.0,4.0,7.0,4.0,4.0,0.0,8.0,9.0,4.0,0.0,6.0,3.0
ENST00000292254.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000294338.7,2.83,0.0,21.33,0.0,1.83,0.0,1.0,0.0,7.0,2.0,2.5,0.0
ENST00000294339.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000294353.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000294360.5,8.5,1.0,3.5,1.0,0.0,4.33,4.0,3.0,1.0,0.0,2.0,2.0
ENST00000294383.7,2.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
ENST00000294401.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000294413.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.83,0.0,0.0,0.0
ENST00000294435.8,10.0,5.5,0.0,0.0,9.0,1.5,1.0,2.5,2.0,0.0,1.0,1.0
ENST00000294484.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000294507.4,344.0,51.0,255.0,246.0,157.0,119.0,145.0,74.0,73.0,13.0,159.0,76.5
ENST00000294613.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000294661.8,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.0,0.0,0.0,0.0
ENST00000294702.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000294724.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000294732.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000294737.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000294740.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENST00000294742.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000294753.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000294785.10,4.5,0.0,2.0,0.0,6.5,0.0,0.0,0.0,1.5,0.0,5.5,1.5
ENST00000294811.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000294889.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ENST00000294981.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000294984.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000295006.6,7.62,3.83,0.0,4.25,7.17,0.0,4.95,3.25,4.17,1.0,10.67,0.0
ENST00000295008.8,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000295050.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENST00000295566.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000295598.10,4.83,1.33,2.0,4.25,0.0,2.33,2.33,2.58,0.0,0.0,3.33,0.0
ENST00000295640.9,7.67,1.0,9.17,5.33,6.33,1.0,2.33,1.0,7.0,0.0,5.17,5.33
ENST00000295682.6,27.5,3.83,10.17,14.5,11.25,13.5,4.87,7.0,6.67,0.0,12.17,6.33
ENST00000295688.8,14.42,9.0,1.0,14.25,7.92,3.67,13.33,6.83,5.25,2.67,10.07,3.83
